timestamp,open,high,low,close,volume
2026-07-24 03:00:00+00:00,65116.99,65464.35,65078.0,65456.7,382.6998
2026-07-24 04:00:00+00:00,65456.7,65469.86,65272.26,65318.0,299.6958
2026-07-24 05:00:00+00:00,65318.01,65394.0,65248.0,65325.0,372.30415
2026-07-24 06:00:00+00:00,65325.01,65519.93,65278.07,65472.0,914.26438
2026-07-24 07:00:00+00:00,65472.0,65808.59,65320.69,65499.95,1219.60281
2026-07-24 08:00:00+00:00,65499.94,65508.17,65302.18,65302.18,306.26025
2026-07-24 09:00:00+00:00,65302.18,65314.66,64952.38,65113.13,478.93491
2026-07-24 10:00:00+00:00,65113.13,65157.99,64906.85,64950.0,716.12782
2026-07-24 11:00:00+00:00,64950.01,65099.99,64857.14,65083.43,751.17375
2026-07-24 12:00:00+00:00,65083.42,65133.99,64766.0,64780.01,507.45117
2026-07-24 13:00:00+00:00,64780.0,64802.0,63920.01,64155.46,2007.68582
2026-07-24 14:00:00+00:00,64155.47,64198.3,63739.75,64055.12,1591.08926
2026-07-24 15:00:00+00:00,64055.11,64333.33,63858.0,64093.85,1939.18979
2026-07-24 16:00:00+00:00,64093.86,64200.0,63881.46,63958.0,529.35925
2026-07-24 17:00:00+00:00,63958.01,64202.91,63905.51,64180.0,525.47557
2026-07-24 18:00:00+00:00,64180.0,64290.1,64129.75,64272.0,390.98725
2026-07-24 19:00:00+00:00,64272.01,64292.44,64141.18,64225.32,579.59462
2026-07-24 20:00:00+00:00,64225.32,64288.02,64128.89,64170.23,214.82759
2026-07-24 21:00:00+00:00,64170.24,64258.73,64122.29,64155.0,651.81342
2026-07-24 22:00:00+00:00,64155.0,64216.27,64121.86,64169.01,587.59798
2026-07-24 23:00:00+00:00,64169.01,64187.4,64134.71,64139.99,412.95391
2026-07-25 00:00:00+00:00,64140.0,64179.03,64033.18,64073.61,386.54772
2026-07-25 01:00:00+00:00,64073.61,64160.0,64006.55,64068.01,493.07694
2026-07-25 02:00:00+00:00,64068.0,64099.99,64017.87,64052.0,479.58839
2026-07-25 03:00:00+00:00,64052.01,64105.61,64016.65,64085.36,469.51581
2026-07-25 04:00:00+00:00,64085.36,64205.67,64085.15,64181.46,171.38031
2026-07-25 05:00:00+00:00,64181.45,64199.76,63980.01,64024.0,245.62438
2026-07-25 06:00:00+00:00,64024.0,64063.37,63964.57,64010.0,248.54758
2026-07-25 07:00:00+00:00,64010.0,64038.52,64000.0,64003.2,408.36611
2026-07-25 08:00:00+00:00,64003.2,64010.01,63810.0,63876.06,507.52898
2026-07-25 09:00:00+00:00,63876.07,64024.72,63830.0,63999.99,1813.6121
2026-07-25 10:00:00+00:00,64000.0,64070.0,63996.0,64070.0,200.57959
2026-07-25 11:00:00+00:00,64069.99,64113.0,64047.09,64064.01,226.46632
2026-07-25 12:00:00+00:00,64064.01,64123.8,64043.0,64123.8,179.4102
2026-07-25 13:00:00+00:00,64123.8,64267.78,64106.74,64172.0,285.46591
2026-07-25 14:00:00+00:00,64172.01,64217.09,64126.0,64214.04,270.20323
2026-07-25 15:00:00+00:00,64214.05,64272.0,64169.99,64182.0,193.98029
2026-07-25 16:00:00+00:00,64182.01,64241.71,64123.0,64206.6,126.61028
2026-07-25 17:00:00+00:00,64206.61,64356.0,64194.37,64267.4,187.81706
2026-07-25 18:00:00+00:00,64267.41,64475.28,64267.41,64415.99,314.52068
2026-07-25 19:00:00+00:00,64415.99,64438.12,64388.38,64388.38,219.4973
2026-07-25 20:00:00+00:00,64388.39,64392.74,64313.0,64339.75,213.90166
2026-07-25 21:00:00+00:00,64339.75,64430.0,64263.03,64344.02,177.06463
2026-07-25 22:00:00+00:00,64344.02,64426.0,64344.01,64412.0,625.93723
2026-07-25 23:00:00+00:00,64412.01,64429.38,64363.0,64375.0,417.8076
2026-07-26 00:00:00+00:00,64375.01,64507.0,64350.0,64506.99,256.73658
2026-07-26 01:00:00+00:00,64506.99,64541.66,64456.67,64462.0,277.18148
2026-07-26 02:00:00+00:00,64462.0,64527.59,64427.59,64527.56,117.0226
2026-07-26 03:00:00+00:00,64527.57,64582.0,64488.73,64557.0,304.96319
2026-07-26 04:00:00+00:00,64557.0,64599.95,64491.73,64530.06,425.16453
2026-07-26 05:00:00+00:00,64530.06,64530.07,64403.95,64417.69,131.14508
2026-07-26 06:00:00+00:00,64417.68,64457.55,64293.81,64438.0,408.23581
2026-07-26 07:00:00+00:00,64438.01,64460.0,64341.99,64370.0,273.49735
2026-07-26 08:00:00+00:00,64370.0,64493.99,64353.0,64480.01,204.14991
2026-07-26 09:00:00+00:00,64480.02,64549.02,64478.38,64538.0,164.82486
