ts,regime,A_sig,A_pnl,B_sig,B_pnl,C_sig,C_pnl,srcA,srcB,srcC,n,conf
1783346400,flat,F,,F,,F,,charon_only,cbr_only,blended,32,0.3085
1783350000,flat,F,,L,-0.5123,L,-0.5123,charon_only,cbr_only,blended,38,0.208
1783353600,flat,L,-0.6115,L,-0.6115,L,-0.6115,charon_only,cbr_only,blended,47,0.3683
1783357200,flat,F,,F,,F,,charon_only,cbr_only,blended,50,0.4547
1783360800,flat,F,,L,-1.1054,F,,charon_only,cbr_only,blended,50,0.4995
1783364400,flat,F,,F,,F,,charon_only,cbr_only,blended,46,0.4678
1783368000,flat,F,,L,0.0606,L,0.0606,charon_only,cbr_only,blended,43,0.4246
1783371600,flat,L,-0.8857,L,-0.8857,L,-0.8857,charon_only,cbr_only,blended,37,0.3054
1783375200,flat,F,,S,-0.0097,F,,charon_only,cbr_only,blended,27,0.227
1783378800,flat,F,,S,0.4653,F,,charon_only,cbr_only,blended,27,0.2355
1783382400,flat,F,,S,0.5012,F,,charon_only,cbr_only,blended,28,0.268
1783386000,flat,F,,F,,F,,charon_only,cbr_only,blended,29,0.2183
1783389600,flat,F,,F,,F,,charon_only,cbr_only,blended,37,0.2708
